Frequency (Hz),Magnitude (dB),Phase (Degrees)
1963.36027683602,13.2953858852774,-23.9011044910926
1967.88628970681,13.2968187909906,-23.9638294943132
1972.42273611482,13.298255701735,-24.0267517361484
1976.96964011183,13.299696609083,-24.0898720263082
1981.52702580507,13.3011415042836,-24.1531911785915
1986.09491735734,13.3025903782576,-24.2167100109051
1990.67333898715,13.3040432215933,-24.2804293452843
1995.26231496885,13.3055000245413,-24.3443500079125
1999.86186963271,13.3069607770101,-24.4084728291412
2004.47202736513,13.3084254685615,-24.4727986435104
2009.0928126087,13.3098940884055,-24.5373282897679
2013.72424986236,13.3113666253955,-24.60206261089
2018.36636368153,13.3128430680233,-24.6670024541012
2023.01917867824,13.3143234044141,-24.7321486708943
2027.68271952125,13.3158076223219,-24.7975021170504
2032.35701093619,13.3172957091234,-24.863063652659
2037.04207770568,13.318787651814,-24.9288341421383
2041.7379446695,13.3202834370016,-24.9948144542549
2046.44463672464,13.3217830509019,-25.0610054621443
2051.16217882553,13.3232864793326,-25.1274080433303
2055.89059598411,13.3247937077084,-25.1940230797459
2060.62991326997,13.3263047210355,-25.2608514577527
2065.38015581049,13.3278195039055,-25.3278940681614
2070.14134879101,13.3293380404905,-25.3951518062514
2074.91351745487,13.3308603145369,-25.4626255717913
2079.69668710366,13.33238630936,-25.5303162690585
2084.49088309725,13.3339160078382,-25.5982248068595
2089.296130854,13.3354493924067,-25.6663520985493
2094.11245585086,13.3369864450522,-25.7346990620523
2098.93988362349,13.3385271473062,-25.8032666198812
2103.77843976644,13.3400714802396,-25.8720556991575
2108.62814993325,13.3416194244562,-25.941067231631
2113.48903983661,13.3431709600864,-26.0103021536998
2118.36113524846,13.3447260667812,-26.0797614064299
2123.24446200018,13.3462847237056,-26.1494459355753
2128.13904598267,13.3478469095323,-26.2193566915968
2133.04491314654,13.3494126024353,-26.2894946296824
2137.96208950219,13.3509817800831,-26.3598607097667
2142.89060112002,13.3525544196321,-26.4304558965501
2147.8304741305,13.3541304977201,-26.5012811595183
2152.78173472433,13.3557099904592,-26.5723374729618
2157.74440915263,13.3572928734292,-26.6436258159952
2162.71852372698,13.3588791216705,-26.7151471725761
2167.70410481966,13.360468709677,-26.7869025315247
2172.7011788637,13.3620616113892,-26.8588928865424
2177.70977235312,13.3636578001869,-26.9311192362308
2182.72991184296,13.3652572488819,-27.0035825841108
2187.76162394951,13.3668599297107,-27.0762839386414
2192.80493535041,13.3684658143271,-27.1492243132378
2197.85987278478,13.3700748737947,-27.2224047262906
2202.92646305342,13.3716870785792,-27.2958262011839
2208.00473301886,13.3733023985409,-27.3694897663136
2213.0947096056,13.3749208029267,-27.4433964551059
2218.19641980018,13.3765422603624,-27.517547306035
2223.30989065136,13.378166738845,-27.5919433626411
2228.43514927026,13.379794205734,-27.6665856735484
2233.57222283049,13.3814246277442,-27.7414752924829
2238.7211385683,13.3830579709368,-27.8166132782892
2243.88192378272,13.3846942007113,-27.8920006949487
2249.05460583574,13.3863332817973,-27.9676386115963
2254.23921215239,13.3879751782458,-28.0435281025375
2259.43577022093,13.389619853421,-28.1196702472655
2264.64430759302,13.3912672699912,-28.1960661304776
2269.86485188378,13.3929173899202,-28.2727168420918
2275.09743077203,13.3945701744588,-28.349623477263
2280.34207200037,13.3962255841352,-28.4267871363997
2285.59880337539,13.3978835787469,-28.504208925179
2290.86765276773,13.3995441173505,-28.5818899545629
2296.14864811232,13.4012071582534,-28.6598313408137
2301.44181740846,13.402872659004,-28.7380342055093
2306.74718872002,13.4045405763823,-28.8164996755579
2312.06479017555,13.4062108663905,-28.8952288832132
2317.39464996843,13.4078834842435,-28.9742229660889
2322.73679635706,13.4095583843587,-29.0534830671727
2328.09125766496,13.4112355203469,-29.1330103348406
2333.45806228096,13.4129148450017,-29.2128059228708
2338.83723865931,13.4145963102898,-29.2928709904567
2344.22881531987,13.4162798673409,-29.3732067022207
2349.63282084826,13.4179654664372,-29.4538142282267
2355.04928389596,13.4196530570033,-29.5346947439929
2360.47823318053,13.4213425875959,-29.6158494305039
2365.91969748571,13.4230340058925,-29.6972794742232
2371.37370566161,13.4247272586817,-29.7789860671044
2376.84028662483,13.4264222918517,-29.8609704066025
2382.31946935864,13.4281190503798,-29.9432336956852
2387.81128291313,13.429817478321,-30.0257771428435
2393.31575640534,13.4315175187974,-30.1086019621017
2398.83291901944,13.4332191139867,-30.1917093730274
2404.36280000688,13.4349222051106,-30.2751006007413
2409.90542868654,13.4366267324238,-30.3587768759259
2415.46083444489,13.4383326352023,-30.4427394348343
2421.02904673613,13.4400398517314,-30.526989519299
2426.61009508236,13.4417483192943,-30.611528376739
2432.20400907376,13.44345797416,-30.696357260168
2437.8108183687,13.4451687515712,-30.7814774282005
2443.43055269392,13.4468805857322,-30.8668901450593
2449.06324184469,13.4485934097967,-30.9525966805811
2454.70891568498,13.4503071558552,-31.038598310222
2460.36760414758,13.4520217549225,-31.1248963150628
2466.03933723429,13.4537371369254,-31.2114919818137
2471.72414501608,13.4554532306894,-31.2983866028177
2477.42205763323,13.4571699639263,-31.3855814760553
2483.13310529552,13.4588872632205,-31.4730779051464
2488.85731828234,13.4606050540169,-31.5608771993536
2494.5947269429,13.4623232606064,-31.6489806735835
2500.34536169638,13.4640418061135,-31.7373896483883
2506.10925303206,13.4657606124823,-31.8261054499665
2511.88643150953,13.4674796004629,-31.915129410163
2517.6769277588,13.4691986895975,-32.0044628664684
2523.48077248052,13.4709177982068,-32.0941071620183
2529.29799644609,13.4726368433758,-32.1840636455912
2535.12863049785,13.4743557409393,-32.2743336716058
2540.97270554925,13.4760744054682,-32.3649186001185
2546.83025258499,13.4777927502546,-32.4558197968191
2552.70130266119,13.4795106872972,-32.5470386330265
2558.58588690559,13.4812281272871,-32.6385764856831
2564.48403651766,13.4829449795922,-32.7304347373493
2570.39578276881,13.4846611522429,-32.8226147761966
2576.32115700252,13.4863765519167,-32.9151179959997
2582.26019063454,13.4880910839228,-33.0079457961287
2588.21291515303,13.4898046521869,-33.1010995815394
2594.17936211876,13.4915171592357,-33.1945807627643
